No.,Time,Source,Destination,Protocol,Length,Signal strength (dBm),Noise level (dBm),Signal/noise ratio (dB),Info
4600,1516.842248199998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,127,-28dBm,,,"QoS Data, SN=2053, FN=0, Flags=.p..R.F."
4603,1518.090968299998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,188,-25dBm,,,"QoS Data, SN=2054, FN=0, Flags=.p..R.F."
4605,1519.032576999998,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,188,-38dBm,,,"QoS Data, SN=2055, FN=0, Flags=.p..R.F."
4607,1520.0606751999978,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,141,-35dBm,,,"QoS Data, SN=2056, FN=0, Flags=.p..R.F."
4610,1520.1565171999978,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,141,-34dBm,,,"QoS Data, SN=2057, FN=0, Flags=.p..R.F."
4614,1520.7655716999977,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,141,-34dBm,,,"QoS Data, SN=2058, FN=0, Flags=.p....F."
4615,1522.2026427999976,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,149,-26dBm,,,"QoS Data, SN=2059, FN=0, Flags=.p....F."
4620,1523.8570823999976,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,132,-39dBm,,,"QoS Data, SN=2060, FN=0, Flags=.p....F."
4623,1524.1530542999976,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,132,-28dBm,,,"QoS Data, SN=2061, FN=0, Flags=.p....F."
4626,1524.9213934999975,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,132,-35dBm,,,"QoS Data, SN=2062, FN=0, Flags=.p....F."
4630,1526.6383604999976,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,171,-35dBm,,,"QoS Data, SN=2063, FN=0, Flags=.p....F."
4634,1528.6130907999975,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,110,-40dBm,,,"QoS Data, SN=2064, FN=0, Flags=.p....F."
4637,1529.3884497999975,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,110,-32dBm,,,"QoS Data, SN=2065, FN=0, Flags=.p..R.F."
4638,1530.0086485999975,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,110,-39dBm,,,"QoS Data, SN=2066, FN=0, Flags=.p..R.F."
4639,1531.9976237999974,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,143,-40dBm,,,"QoS Data, SN=2067, FN=0, Flags=.p....F."
4640,1533.1282809999975,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,195,-36dBm,,,"QoS Data, SN=2068, FN=0, Flags=.p....F."
4643,1533.9172661999976,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,195,-42dBm,,,"QoS Data, SN=2069, FN=0, Flags=.p..R.F."
4646,1535.1050594999977,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,143,-46dBm,,,"QoS Data, SN=2070, FN=0, Flags=.p....F."
4651,1536.1434644999977,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,176,-21dBm,,,"QoS Data, SN=2071, FN=0, Flags=.p....F."
4656,1536.3114221999977,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,176,-31dBm,,,"QoS Data, SN=2072, FN=0, Flags=.p....F."
4657,1536.4723337999976,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,176,-43dBm,,,"QoS Data, SN=2073, FN=0, Flags=.p....F."
4662,1538.1663921999975,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,182,-41dBm,,,"QoS Data, SN=2074, FN=0, Flags=.p....F."
4663,1539.7572316999974,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,155,-35dBm,,,"QoS Data, SN=2075, FN=0, Flags=.p..R.F."
4664,1541.5946435999974,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,214,-30dBm,,,"QoS Data, SN=2076, FN=0, Flags=.p....F."
4668,1543.2154131999973,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,122,-33dBm,,,"QoS Data, SN=2077, FN=0, Flags=.p..R.F."
4671,1543.3089257999973,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,122,-38dBm,,,"QoS Data, SN=2078, FN=0, Flags=.p....F."
4673,1543.4876487999973,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,122,-43dBm,,,"QoS Data, SN=2079, FN=0, Flags=.p....F."
4678,1544.1989435999972,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,122,-20dBm,,,"QoS Data, SN=2080, FN=0, Flags=.p....F."
4683,1545.1963988999971,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,122,-37dBm,,,"QoS Data, SN=2081, FN=0, Flags=.p....F."
4684,1547.085793399997,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,182,-32dBm,,,"QoS Data, SN=2082, FN=0, Flags=.p..R.F."
4689,1548.147639299997,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,211,-43dBm,,,"QoS Data, SN=2083, FN=0, Flags=.p....F."
4691,1548.428656999997,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,211,-35dBm,,,"QoS Data, SN=2084, FN=0, Flags=.p..R.F."
4695,1550.344078999997,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,107,-36dBm,,,"QoS Data, SN=2085, FN=0, Flags=.p....F."
4700,1552.038792999997,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,218,-30dBm,,,"QoS Data, SN=2086, FN=0, Flags=.p..R.F."
4703,1553.039146599997,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,129,-42dBm,,,"QoS Data, SN=2087, FN=0, Flags=.p....F."
4708,1553.173180099997,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,129,-48dBm,,,"QoS Data, SN=2088, FN=0, Flags=.p..R.F."
4709,1554.1373740999968,fa:4e:73:5a:14:64,Microsof_98:83:04,802.11,129,-39dBm,,,"QoS Data, SN=2089, FN=0, Flags=.p....F."
